Index,Round,College,Branch,Stream,Quota,Category,SeatGender,OpeningRank,ClosingRank
1.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(AF),Both Male and Female Seats,1186728.0,1186728.0,,,,,,,,,,,,
1.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,SC(AF),Both Male and Female Seats,1186728.0,1186728.0,2.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Computer Engg.,B.Tech,Home State,BC,Both Male and Female Seats,311590.0,341099.0,,
3.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1006128.0,1409446.0,2.0,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Electrical & Computer Engg.,B.Tech,Home State,BC,Both Male and Female Seats,311590.0,341099.0,,
3.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1006128.0,1409446.0,4.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,71375.0,136776.0,,
5.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electronics Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,141669.0,224258.0,4.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,71375.0,136776.0,,
5.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Electronics Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,141669.0,224258.0,6.0,Round 1,"SANSKAR COLLEGE OF ENGINEERING & TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,399460.0,1282885.0,,
7.0,Round 1,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,147516.0,1146828.0,6.0,Round 1,"SANSKAR COLLEGE OF ENGINEERING & TECHNOLOGY,GHAZIABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,399460.0,1282885.0,,
7.0,Round 1,"UNITED INSTITUTE OF TECHNOLOGY,ALLAHABAD",Computer Science and Engineering,B.Tech,All India,OPEN,Both Male and Female Seats,147516.0,1146828.0,8.0,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,1286464.0,1286464.0,,
9.0,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,1111467.0,1111467.0,8.0,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,1286464.0,1286464.0,,
9.0,Round 1,"BUDDHA INSTITUTE OF TECHNOLOGY,GORAKHPUR",Computer Science and Engineering (Data Science),B.Tech,All India,OPEN,Both Male and Female Seats,1111467.0,1111467.0,10.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,253199.0,570689.0,,
11.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,201117.0,385993.0,10.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,253199.0,570689.0,,
11.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,201117.0,385993.0,12.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,526490.0,584101.0,,
13.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,269882.0,320947.0,12.0,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,526490.0,584101.0,,
13.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,269882.0,320947.0,14.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,ST,Both Male and Female Seats,1258081.0,1258081.0,,
15.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,272523.0,433216.0,14.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,ST,Both Male and Female Seats,1258081.0,1258081.0,,
15.0,Round 1,"RAJKIYA ENGINEERING COLLEGE, PARTAPGARH",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,272523.0,433216.0,16.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,417484.0,632681.0,,
17.0,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,712864.0,933730.0,16.0,Round 1,"INSTITUTE OF ENGG. & RURAL TECHNOLOGY,ALLAHABAD",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,417484.0,632681.0,,
17.0,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science,B.Tech,Home State,OPEN(GIRL),Female Seats,712864.0,933730.0,18.0,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science,B.Tech,Home State,SC(Girl),Female Seats,1150169.0,1150169.0,,
